Mike	22:25 3/6/2004	130
Jim	22:25 3/6/2004	113
Tom	22:25 3/6/2004	105
Lana	22:25 3/6/2004	130
TomH	22:25 3/6/2004	125
Mike	22:26 3/6/2004	153
TomH	22:26 3/6/2004	174
Jim	16:5 1/6/2022	143
Mike	16:5 1/6/2022	107
Lana	16:5 1/6/2022	157
Jim	16:16 1/6/2022	80
Lana	16:16 1/6/2022	148
Mike	16:35 1/6/2022	102
Jim	16:35 1/6/2022	90
Lana	16:36 1/6/2022	156
Mike	16:36 1/6/2022	117
Mike	21:17 1/6/2022	116
Jim	21:17 1/6/2022	141
Jim	21:17 1/6/2022	126
Lana	21:17 1/6/2022	125
Mike	21:31 1/6/2022	104
Mike	21:32 1/6/2022	114
Mike	2:12 1/0/2022	141
Jim	11:27 1/0/2022	90
Jim	11:39 1/0/2022	129
Jim	11:42 1/0/2022	95
Jim	11:48 1/0/2022	155
Jim	11:50 1/0/2022	76
Tom	17:4 1/0/2022	200
Tom	19:52 1/0/2022	160
Tom	19:52 1/0/2022	137
Mike	19:52 1/0/2022	129
Lana	19:52 1/0/2022	117
TomH	19:53 1/0/2022	128
Mike	21:26 1/0/2022	134
Mike	21:26 1/0/2022	130
Jim	1:45 1/4/2022	156
Lana	1:45 1/4/2022	82
Mike	18:13 1/4/2022	167
Jim	18:13 1/4/2022	102
Jim	18:22 1/4/2022	135
Tom	18:22 1/4/2022	195
Lana	18:22 1/4/2022	139
Jim	18:32 1/4/2022	142
Tom	18:32 1/4/2022	180
Mike	3:9 1/5/2022	119
Mike	3:10 1/5/2022	133
Jim	3:12 1/5/2022	166
Tom	3:23 1/5/2022	137
Mike	3:29 1/5/2022	109
Mike	3:29 1/5/2022	142
Mike	4:46 1/5/2022	106
Mike	4:53 1/5/2022	133
Mike	5:2 1/5/2022	139
Mike	5:6 1/5/2022	146
Mike	7:10 1/5/2022	153
Tom	7:10 1/5/2022	120
Jim	15:3 1/6/2022	164
Mike	22:21 1/6/2022	144
Jim	22:21 1/6/2022	180
Tom	22:21 1/6/2022	118
Mike	22:21 1/6/2022	109
TomH	22:21 1/6/2022	154
negi	22:21 1/6/2022	160
aa	22:22 1/6/2022	86
rwt	22:22 1/6/2022	162
Mike	22:27 1/6/2022	135
Jim	22:27 1/6/2022	131
Tom	22:27 1/6/2022	119
TomH	22:28 1/6/2022	148
